ID,Tweet,Creado_tweet,Locacion_usuario,Seguidores_usuario,Amigos_usuario,Favoritos_usuario,Descripcion_usuario,Verificado_usuario,Idioma,Tipo
1206924075374956547,"Las feminazis quieren por poco que este chico vaya preso por su humor negro, porque eso es violencia y no libre expresión.
Una diputada provincial amenaza físicamente a un persona en concreto, y eso no es violencia si no libertad de expresión.
Hay confusión de conceptos https://t.co/51xCjJDiyK",2019-12-17 13:08:17,Argentina,1683,2710,28982,"El Progresismo es un Cáncer que quiere destruir occidente.
Socialismo, Feminismo, LGBT+++, Multiculturalismo y todo lo que se les parezca, no suman, rompen.",False,es,misogino
1210912199402819584,"@CarlosVerareal @Galois2807 Los halagos con piropos educados no deben molestar, hay muchísimas parejas q iniciaron su relación así, estamos en un tiempo en donde la #feminazis critican hasta al aire q las toca... Y eso está re mal.",2019-12-28 13:15:40,Ecuador,398,1668,3123,"Cuando te encuentres n una situación imposible, recuerda q lo q s imposible para el humano,es posible para DIOS.",False,es,misogino
1210643148998938625,"@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! https://t.co/c2akcV1IJf",2019-12-27 19:26:34,Samborondon - Ecuador ,1901,1432,39507,Todo se alinea a nuestro favor.  💙💙💙💙,False,es,misogino
1210643148998938625,"@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! https://t.co/c2akcV1IJf",2019-12-27 19:26:34,Samborondon - Ecuador ,1901,1432,39507,Todo se alinea a nuestro favor.  💙💙💙💙,False,es,misogino
1203627609759920128,Mostritas #Feminazi amenazando como ellas saben. https://t.co/NPYWWiqaVV,2019-12-08 10:49:19,"Lima, Perú",2504,3824,45087,Latam News Report. Regional and World affairs. Análisis político y de actualidad. Filiación de Centro Derecha. No toleramos populismos baratos.,False,es,misogino
1203627609759920128,Mostritas #Feminazi amenazando como ellas saben. https://t.co/NPYWWiqaVV,2019-12-08 10:49:19,"Lima, Perú",2504,3824,45087,Latam News Report. Regional and World affairs. Análisis político y de actualidad. Filiación de Centro Derecha. No toleramos populismos baratos.,False,es,misogino
1208145724879364100,"Si usted es FEMINAZI ⤵️
NO se le ocurra celebrar la Navidad
NI pedir Regalos.
Nosotros celebramos un Nacimiento No un aborto",2019-12-20 22:02:41,David,1496,1130,51875,,False,es,misogino
1206606011534057474,Esas feminazis son más intensas que los testigos de Jehová https://t.co/Kdl51RLgQl,2019-12-16 16:04:25,"Barquisimeto, Venezuela",78030,8676,344674,"Toda acción tiene una reacción igual o contraria, depende de la fuerza que se ejerce",False,es,misogino
1209681912492675072,@CaroHurtadoG @RoloConCulo @CristoAtado Feminazis descubren la paja,2019-12-25 03:46:57,"Chupamestepenco, Atlántico",106,258,50086,,False,es,misogino
1208160409510912008,@Tiqui_Baquerizo @DrProChoice @emilioer @AvaFelix3 @GraceVegas90 Claro que si las niñas y niños por nacer nos  recuerdan el nacimiento del niño Jesús pero como las Feminazis trapo verde no creen en Dios como un rito satánico prefieren sacrificar inocentes y no lo vamos a permitir,2019-12-20 23:01:02,Guayaquil-Ecuador ,969,4884,1926,"REINA Universitaria Ecuador 1998  👑  amo a mi familia soy abogada, Dios  es quien me da esa fuerza.. SALVEMOS LAS 2 ViDAS💙💙💙",False,es,misogino
1206646560618094594,@LaFallaras Payasa háztelo mirar,2019-12-16 18:45:33,,261,601,57494,Por España y el que quiera defenderla honrado muera.,False,es,misogino
1204535986971131911,"Fea, ladrona y para mas cagarla...ordinaria.
Que diferencia con la caballerosidad del ex presidente Macri...feminazi? https://t.co/CQkB9GfEK9",2019-12-10 22:58:53,,356,534,4880,Hasta las cachas con los políticos zurdoides,False,es,misogino
1206440616101588992,@DianaMayora ASÍ COMO TUS DELIRIOS FEMINAZIS? JAJAJJAJAJAJAJAJAJA. duermase.,2019-12-16 05:07:12,Panamá,1221,584,23035,No molestar.,False,es,misogino
1206072779000438784,@cristiancrespoj No es demonio es una histérica feminazi,2019-12-15 04:45:32,Ecuador,601,681,74144,cuidemos la creación de Dios,False,es,misogino
1206072779000438784,@cristiancrespoj No es demonio es una histérica feminazi,2019-12-15 04:45:32,Ecuador,601,681,74144,cuidemos la creación de Dios,False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,795,1909,86084,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,795,1909,86084,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,795,1909,86084,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,795,1909,86084,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,795,1909,86084,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1207453546834276358,Las feminazis del siglo XXI. Cualquier pendejada les parece una ofensa terrible: https://t.co/NZo3NlKY8h,2019-12-19 00:12:13,"Bucaramanga, Santander",709,365,8172,Jefe de Publicaciones UIS. Columnista Vanguardia y El Unicornio. Docente. Grupo Los Muchos. Festivalito Ruitoqueño.,False,es,misogino
